Марсель;Суракарта;0;Roel;Племянников;Рамильевич
Бавария;Порт-Харкорт;0;Иво;Жуков;Джорджович
Реал Мадрид;Вестерос;0;Dwayne;Оропай;Джорджович
Тоттенхэм;Братск;0;Евграф;Арнольдович;Валерьевич
Спартак;Андреаполь;0;Richard;Василевич;Рамильевич
Марсель;Римини;0;Стоян;Капитанчук;Валерьевич
Ювентус;Балабаново;0;Иво;Цветков;Валерьевич
Авангард;Суракарта;0;Roel;Арнольдович;Евгеньевич
Бавария;Кингстон;0;Стоян;Жуков;Александрович
Аякс;Порт-Харкорт;0;Иво;Арнольдович;Алексеевич
Тоттенхэм;Вестерос;0;Евграф;Артёмович;Александрович
Боруссия;Вестерос;0;Борислав;Вадимович;Вадимович
Реал Мадрид;Кингстон;0;Dwayne;Арнольдович;Евгеньевич
Милан;Матаморос;0;Иво;Карабатов;Валерьевич
Марсель;Эвора;0;Борислав;Капитанчук;Геннадбевич
Тоттенхэм;Кингстон;0;Евграф;Оропай;Александрович
Боруссия;Балабаново;0;Евграф;Артёмович;Евгеньевич
Зенит;Вестерос;0;Стоян;Вадимович;Вадимович
Интер;Римини;0;Борислав;Огородников;Александрович
Авангард;Братск;0;Richard;Цветков;Евгеньевич
Ливерпуль;Кингстон;0;Стоян;Цветков;Евгеньевич
Марсель;Куэрнавака;0;Стоян;Огородников;Евгеньевич
Ливерпуль;Куэрнавака;0;Борислав;Племянников;Рамильевич
Зенит;Порт-Харкорт;0;Иво;Вадимович;Джорджович
Аякс;Суракарта;0;Стоян;Капитанчук;Рамильевич
Милан;Балабаново;0;Стоян;Оропай;Джорджович
Галатасарай;Кингстон;0;Борислав;Вадимович;Джорджович
Тоттенхэм;Братск;0;Касьян;Карабатов;Джорджович
Интер;Макурди;0;Roel;Арнольдович;Валерьевич
Рома;Андреаполь;0;Guido;Капитанчук;Евгеньевич
Милан;Братск;0;Борислав;Цветков;Вадимович
Ливерпуль;Инсбрук;0;Guido;Артёмович;Валерьевич
Спартак;Порт-Харкорт;0;Борислав;Жуков;Рамильевич
Ювентус;Братск;0;Richard;Цветков;Евгеньевич
Ювентус;Макурди;0;Касьян;Арнольдович;Вадимович
Барселона;Эвора;0;Roel;Василевич;Джорджович
Галатасарай;Инсбрук;0;Roel;Артёмович;Джорджович
Марсель;Кингстон;0;Guido;Карабатов;Евгеньевич
Милан;Вестерос;0;Борислав;Оропай;Евгеньевич
Марсель;Эвора;0;Евграф;Волошин;Вадимович
Авангард;Римини;0;Guido;Жуков;Вадимович
Манчестер Юнайтед;Суракарта;0;Guido;Капитанчук;Алексеевич
Спартак;Эвора;0;Иво;Вадимович;Рамильевич
Зенит;Андреаполь;0;Guido;Арнольдович;Вадимович
Манчестер Юнайтед;Порт-Харкорт;0;Roel;Жуков;Джорджович
Галатасарай;Макурди;0;Richard;Цветков;Александрович
Авангард;Римини;0;Иво;Цветков;Джорджович
Спартак;Матаморос;0;Борислав;Арнольдович;Рамильевич
Тоттенхэм;Балабаново;0;Richard;Волошин;Евгеньевич
Реал Мадрид;Макурди;0;Richard;Арнольдович;Геннадбевич
Боруссия;Матаморос;0;Стоян;Огородников;Вадимович
Ливерпуль;Порт-Харкорт;0;Guido;Племянников;Александрович
Ливерпуль;Римини;0;Guido;Племянников;Алексеевич
Интер;Порт-Харкорт;0;Борислав;Цветков;Вадимович
Боруссия;Суракарта;0;Стоян;Василевич;Алексеевич
Бавария;Кингстон;0;Борислав;Карабатов;Джорджович
Манчестер Юнайтед;Андреаполь;0;Dwayne;Капитанчук;Вадимович
Галатасарай;Балабаново;0;Стоян;Артёмович;Вадимович
Галатасарай;Римини;0;Dwayne;Капитанчук;Рамильевич
Марсель;Порт-Харкорт;0;Roel;Артёмович;Вадимович
Авангард;Суракарта;0;Guido;Племянников;Алексеевич
Аякс;Куэрнавака;0;Стоян;Василевич;Алексеевич
Тоттенхэм;Матаморос;0;Стоян;Племянников;Рамильевич
Авангард;Эвора;0;Dwayne;Племянников;Александрович
Ливерпуль;Римини;0;Стоян;Жуков;Геннадбевич
Ливерпуль;Вестерос;0;Стоян;Племянников;Вадимович
Милан;Балабаново;0;Dwayne;Оропай;Валерьевич
Зенит;Макурди;0;Иво;Жуков;Джорджович
Бавария;Матаморос;0;Richard;Артёмович;Геннадбевич
Спартак;Вестерос;0;Guido;Волошин;Валерьевич
Тоттенхэм;Балабаново;0;Dwayne;Племянников;Рамильевич
Галатасарай;Братск;0;Евграф;Племянников;Евгеньевич
Зенит;Макурди;0;Касьян;Волошин;Рамильевич
Марсель;Суракарта;0;Евграф;Цветков;Рамильевич
Тоттенхэм;Эвора;0;Guido;Цветков;Алексеевич
Боруссия;Порт-Харкорт;0;Guido;Карабатов;Джорджович
Аякс;Матаморос;0;Касьян;Арнольдович;Евгеньевич
Боруссия;Матаморос;0;Касьян;Артёмович;Геннадбевич
Марсель;Кингстон;0;Richard;Жуков;Евгеньевич
ЦСКА;Кингстон;0;Dwayne;Огородников;Валерьевич
Боруссия;Макурди;0;Борислав;Жуков;Алексеевич
Интер;Куэрнавака;0;Иво;Жуков;Валерьевич
Марсель;Матаморос;0;Евграф;Вадимович;Евгеньевич
Тоттенхэм;Братск;0;Иво;Огородников;Алексеевич
Рома;Эвора;0;Стоян;Карабатов;Рамильевич
Бавария;Балабаново;0;Richard;Карабатов;Евгеньевич
Бавария;Эвора;0;Иво;Цветков;Джорджович
Бавария;Кингстон;0;Стоян;Арнольдович;Александрович
Милан;Балабаново;0;Стоян;Огородников;Алексеевич
Авангард;Матаморос;0;Борислав;Волошин;Алексеевич
Боруссия;Инсбрук;0;Dwayne;Василевич;Валерьевич
Милан;Матаморос;0;Roel;Племянников;Евгеньевич
Манчестер Юнайтед;Макурди;0;Иво;Вадимович;Рамильевич
Интер;Эвора;0;Касьян;Капитанчук;Евгеньевич
Интер;Вестерос;0;Dwayne;Волошин;Геннадбевич
Интер;Римини;0;Стоян;Оропай;Вадимович
Марсель;Макурди;0;Иво;Цветков;Алексеевич
Тоттенхэм;Римини;0;Guido;Оропай;Геннадбевич
Интер;Вестерос;0;Guido;Огородников;Александрович
Тоттенхэм;Эвора;0;Dwayne;Волошин;Валерьевич
Спартак;Андреаполь;0;Стоян;Вадимович;Джорджович
